Route;1999/00;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
H25;1135544;1206802;1225178;1199851;1175278;1130999;1166647;1298443;1478212;1610825;1620164;1678614;1699458;1758770
G1;951907;930884;986688;1160451;1217800;1258562;1431714;1421588;1402993;1470497;1516171;1594642;1770673;1742313
153;1098634;1174181;1625846;1745513;1617581;1682063;1744040;1740517;1743800;1752315;1859573;1890995;1793041;1739078
423;0;0;0;0;0;0;0;0;35842;1284528;1357271;1527710;1695211;1732289
322;2407392;2854443;2929264;2791979;3043284;2867184;1737042;1665811;1659887;1734732;1731583;1678010;1807110;1724594
160;1387287;1456993;1428364;1526009;1510935;1538088;1502739;1300917;1404970;1692722;1651165;1658052;1686389;1712653
K1;1046666;1103021;1191522;1251994;1284971;1324947;1377290;1520633;1627914;1735176;1705971;1702034;1762944;1699047
20;1391293;1382494;1315209;1500395;1472552;1566621;1576943;1537866;1376148;1617359;1585573;1622072;1633431;1686446
N29;668395;898167;1092249;1207468;1352942;1416684;1593478;1728741;1800264;1847256;1853833;1874860;1792115;1683857
288;1104128;1108065;1065365;1155689;1286502;1303890;1289129;1258395;1335861;1485956;1538189;1629301;1708636;1683564
W19;0;396174;525124;557264;629789;648358;715578;936623;1549233;1651715;1728590;1716385;1726039;1664670
309;899087;1251277;1317431;1460989;1356188;1326695;1474958;1497645;1562960;1569222;1660489;1562848;1509449;1663736
203;1073957;1160746;1219837;1327266;1389504;1320984;1390203;1436957;1548641;1581877;1572374;1651402;1738460;1653902
405;0;0;533521;598589;764060;946282;974289;1042403;1146302;1379173;1502837;1555953;1671959;1653773
370;0;0;0;0;0;0;0;0;442389;1410447;1609812;1637127;1629097;1652013
190;1081144;1146313;1193404;1354192;1345826;1313362;1265853;1247098;1377607;1476355;1702322;1669080;1659247;1632097
193;1190259;1275659;1313557;1416831;1492775;1506115;1518015;1454108;1501313;1618188;1625029;1644178;1691579;1627530
291;849265;932519;1170905;1278391;1401917;1399170;1472766;1478636;1555530;1631639;1688426;1640073;1697854;1618650
231;1032627;1079396;1156111;1103403;1265676;1456000;1420191;1422995;1506036;1608586;1590472;1497955;1580494;1617585
112;845232;873733;834515;862172;981687;1063127;1287114;1472700;1386543;1573160;1579481;1639862;1716366;1615712
X26;0;0;0;0;0;0;448126;491763;536949;730465;1201820;1341070;1426320;1604967
N25;472200;640060;787742;859765;841162;1166960;1403746;1443765;1503497;1542743;1548235;1565796;1507278;1553137
167;1257254;1329394;1221466;1598387;1652418;1640824;1373143;1331357;1333656;1367699;1442316;1349345;1536700;1528192
312;3749861;3394368;3455365;3736950;3650720;3829437;2343148;1421887;1530836;1621498;1683261;1473414;1510772;1521054
401;906949;966471;991326;1013637;1031411;1027122;1028383;1030583;1095068;1293867;1483171;1506688;1581568;1513625
394;0;0;0;0;919833;1363720;1328517;1225124;1244118;1438294;1528628;1493850;1524099;1508960
