Network-wide;Mois;Bus;London Underground / Docklands Light Railway;London Overground;London Tramlink
Network-wide FY2022/23;octobre;10,0;14,8;9,1;7,9
Network-wide FY2022/23;novembre;10,6;18,1;10,7;20,6
Network-wide FY2022/23;décembre;10,1;17,5;12,2;21,6
Network-wide FY2022/23;janvier;10,2;19,1;9,2;22,6
Network-wide FY2022/23;février;10,2;19,0;10,7;14,3
Network-wide FY2022/23;mars;13,2;24,9;14,5;18,5
Network-wide FY2023/24;avril;11,5;18,6;10,4;18,9
Network-wide FY2023/24;mai;9,9;19,8;10,4;13,8
Network-wide FY2023/24;juin;10,0;17,9;10,4;9,7
Network-wide FY2023/24;juillet;8,8;19,4;10,5;16,2
Network-wide FY2023/24;août;8,2;18,2;12,1;13,8
Network-wide FY2023/24;septembre;9,5;17,7;9,2;18,6
Network-wide FY2023/24;octobre;10,7;18,5;12,0;18,4
Network-wide FY2023/24;novembre;10,9;21,9;12,9;11,7
Network-wide FY2023/24;décembre;11,5;22,3;11,8;9,6
Network-wide FY2023/24;janvier;10,3;21,0;11,3;14,1
Network-wide FY2023/24;février;10,0;23,2;10,0;12,0
Network-wide FY2023/24;mars;9,3;21,1;11,4;5,9
